"no"	"CB3"	"CB4"	"CF2"	"KO1"	"KO2"	"NG1"	"NG2"	"NMSD1"	"NMSD2"	"PP3"	"PP4"	"SB8"	"FUSION"
1112	89.17	87.56	75.43	75.17	86.04	41.84	74.09	75.78	76.85	68.24	70.06	5.28	85.83
1113	73.41	74.77	71.32	66.67	65.85	59.87	31.23	73.63	73.3	60.81	27.37	2.59	73.21
1114	86.18	84.54	73.78	74.0	74.46	67.32	65.26	85.65	83.43	74.75	71.76	12.05	78.24
1116	92.55	92.59	84.91	91.54	90.95	85.18	82.42	93.33	93.33	88.8	87.77	18.9	93.18
1117	75.41	72.35	61.32	71.33	67.67	75.22	50.64	70.95	69.05	59.12	59.73	1.8	75.11
1118	69.0	64.51	51.89	65.8	66.0	53.66	55.62	56.32	55.07	66.54	69.39	2.62	68.12
1119	91.43	91.84	89.98	90.32	89.08	92.33	91.14	91.23	90.83	91.7	91.7	12.26	91.94
1120	93.79	94.84	89.08	94.1	91.57	87.85	85.93	88.95	94.72	86.17	83.39	6.0e-2	94.87
1121	66.34	67.19	64.95	68.35	72.68	71.49	74.68	66.94	69.68	65.22	65.82	18.11	72.98
1123	73.41	74.77	71.32	66.69	65.46	59.87	31.23	73.63	73.3	60.81	27.37	2.59	73.21
1124	77.75	78.48	73.22	75.75	75.92	74.3	62.2	74.02	75.25	71.59	71.04	19.87	77.99
1125	89.85	86.97	82.0	90.56	89.86	74.2	75.84	89.84	92.52	65.14	83.84	12.24	95.36
1126	79.53	80.34	72.23	78.02	70.12	58.84	57.74	74.46	72.18	74.79	73.43	6.12	74.05
1127	74.79	72.68	60.49	58.82	62.52	57.81	57.25	66.64	65.72	65.67	65.92	12.69	73.45
1133	91.15	89.52	82.44	89.16	90.0	86.37	77.94	88.06	90.57	86.29	78.29	2.99	91.49
1134	85.98	79.37	84.81	83.76	83.58	77.22	76.62	86.05	83.91	77.33	80.1	9.0e-2	86.99
1136	93.77	94.94	90.47	93.58	93.73	93.71	77.45	92.52	92.75	92.69	92.61	6.0e-2	95.68
1139	92.87	93.23	84.34	89.58	87.1	87.92	84.96	91.82	92.75	85.14	84.57	39.63	93.33
1141	89.19	91.08	74.87	88.03	87.63	87.62	73.0	90.57	89.52	88.69	88.94	1.55	91.22
1142	80.69	79.53	78.44	82.85	85.67	84.17	60.92	78.15	77.8	83.87	77.92	9.35	84.28
1143	87.77	88.59	73.08	84.36	84.76	80.85	69.85	79.61	81.61	79.14	71.97	27.73	88.59
1145	85.75	86.52	74.37	78.93	76.21	56.8	59.57	78.65	75.85	71.32	70.79	2.25	82.26
1146	90.38	88.3	86.88	90.09	87.6	79.93	65.3	77.26	79.16	85.9	85.5	8.05	91.06
1147	82.59	84.72	82.93	82.1	83.85	81.29	79.87	82.93	84.4	76.82	78.0	11.25	83.89
1148	55.66	65.44	53.36	66.54	63.08	64.76	56.05	58.46	54.56	65.09	64.31	4.45	69.78
1149	66.58	66.6	69.23	65.52	64.24	57.53	34.71	58.92	54.96	65.8	66.44	0.39	71.87
1150	36.32	53.04	50.88	50.55	52.12	51.93	28.61	46.55	39.8	63.95	62.36	8.0e-2	60.85
1151	93.74	94.13	92.97	92.52	93.74	86.81	87.06	87.57	87.99	92.15	91.02	5.04	93.18
1152	95.41	94.65	93.42	92.08	93.84	92.35	86.01	88.55	92.07	93.43	95.25	7.7	96.09
1153	92.54	92.55	90.85	92.89	93.75	90.68	89.27	93.29	92.76	95.64	94.16	15.17	95.24
1154	97.18	97.54	91.34	94.74	96.08	85.13	85.7	94.5	94.64	94.86	94.86	29.07	97.69
1155	62.08	62.24	64.62	59.33	59.03	70.43	51.69	58.87	57.87	64.07	63.64	0.89	62.34
1157	76.07	75.47	78.18	72.57	75.04	74.62	63.22	75.44	76.12	76.64	75.82	8.88	78.26
1160	90.5	90.98	83.27	90.76	90.8	86.47	76.6	90.55	89.78	73.3	83.49	0.88	92.0
1161	84.67	83.84	71.62	77.99	81.87	74.81	73.08	81.71	80.98	74.31	75.19	14.44	82.75
1162	91.15	89.52	82.44	89.16	90.3	86.37	77.94	88.06	90.53	86.3	78.29	2.99	91.49
1163	87.14	81.7	79.19	81.76	81.91	71.97	71.42	83.26	82.57	75.2	80.25	2.9	85.55
1164	46.42	43.47	42.13	42.89	41.15	22.93	26.65	51.01	40.3	42.68	23.03	12.91	51.35
1166	91.43	90.96	83.5	89.81	91.01	85.55	69.16	87.31	88.98	85.79	85.79	9.0e-2	91.15
1167	78.46	79.43	80.59	78.05	82.08	65.57	59.1	80.45	82.54	78.53	75.27	18.71	82.16
1168	95.46	95.16	92.35	93.05	94.07	94.59	94.27	95.1	94.78	94.23	93.32	1.44	95.74
1169	54.17	56.68	68.41	53.63	55.0	53.42	72.57	54.26	55.63	54.54	60.68	5.0e-2	53.68
1170	73.59	72.35	68.48	72.35	70.44	68.42	62.87	74.14	72.14	69.28	67.09	18.16	75.55
1171	86.87	86.97	85.37	86.99	86.38	84.6	76.67	86.53	85.31	82.72	82.96	0.51	87.79
1174	51.52	48.39	35.63	51.15	55.84	36.82	56.5	47.88	50.21	48.61	55.89	0.78	57.6
1177	96.34	95.99	93.62	95.02	95.74	96.65	93.35	95.35	95.14	94.71	94.71	23.88	96.56
1178	68.7	65.78	64.32	67.61	58.35	46.54	40.19	59.98	59.23	59.45	57.13	0.6	67.42
1180	89.66	89.06	79.34	82.46	81.78	77.94	78.96	91.51	84.89	79.1	80.0	7.0e-2	85.67
