"CB3"	"CB4"	"CF2"	"CM3"	"JR2"	"KO2"	"KO3"	"NG1"	"NG2"	"NMSD1"	"NMSD2"	"PP3"	"PP4"	"SB8"	"FUSION"
1346	84.26512656135696	84.21870001443014	77.00306265262417	77.00306265262417	71.10524719980134	85.02958080309268	85.04845419124145	80.62154913452756	79.63458640560295	83.13311234165454	80.66992568072534	83.29463011125328	87.74483529175687	8.914790594615075	86.48544532794075
1347	79.45114125319476	77.81419585531795	75.0128304518705	75.0128304518705	65.78850361269392	78.15910705249549	76.22660248888997	72.42567229597677	73.85315797301784	77.77162520125106	77.07574557939945	76.57915886389047	77.14797378545693	0.1941670170860003	78.85838608535026
1350	83.19661630730515	83.4041967461243	77.5128473488992	77.5128473488992	69.15414102080992	74.05998173532694	72.39973685958418	82.05376637608855	76.6643691883176	79.44948014749437	78.69467157311632	78.12617308943416	76.79009548921066	5.8188427944783336e-2	83.23097668214507
1353	2.4480661047688335	2.2000197045301197	8.26821334129045e-2	8.26821334129045e-2	2.8344972742120484	2.3653839713559335	2.117337571117234	0.24804640023871352	0.24804640023871352	2.4703021623121764	2.4703021623121764	2.7183485625508896	2.7183485625508896	13.865929702780546	2.4480661047688335
1354	85.99908895870547	85.54360437464403	78.29671354177638	78.29671354177638	56.066539971057274	80.24638977556901	75.69471873029359	70.45681073835156	74.42792011420002	78.26828813740313	73.95650436383464	63.53833875789924	66.22237641520505	4.965891851244035	83.59011485742363
1355	66.80817414709708	63.3162479040935	75.90967514427777	75.90967514427777	46.37453614077777	85.79723103524096	94.50823553623741	92.62221846602655	60.384426659307046	77.17885544919012	74.86878686638353	74.22366352873517	63.55357592053087	0.12112447459657165	94.26570957145218
1357	88.15196424146131	89.99698602617288	84.4870834633027	84.4870834633027	75.97032159688756	85.15784770069128	84.18086289251619	83.34120883598924	73.78496730424435	90.71370315637624	90.71370315637624	76.94213387748276	72.58069259216336	23.99261549184658	89.84859597273922
1358	52.938501765288336	52.35614610233568	48.61382954663242	48.61382954663242	39.489139613019105	52.95768022359353	52.40817998625029	49.276430794902055	42.40283882755412	49.31203397618443	46.70702817318467	56.46610961438612	56.1633081239863	4.097015879738242	55.93706910032669
1359	82.45194316564533	79.46004918285476	72.6588978128868	72.6588978128868	70.26345996043233	88.31231812355779	86.35355822013877	85.57147468649062	81.69395893303619	93.02867820406918	91.81307246683984	80.95142696118485	73.68596081356743	0.8631804739362543	92.87952203816829
1360	75.32262171986375	71.92277443254684	71.60211141869513	71.60211141869513	74.4625595499105	72.04308362388365	74.05425969783629	72.63630409557042	69.69455137547746	72.20277134685873	73.39293339712773	76.8192873553201	71.61794754635122	3.5190914344042383	76.57435901368508
1361	84.52094640674588	85.41923722245333	78.56829423935281	78.56829423935281	73.7145650895879	89.37142719802405	85.89032279186326	80.49591813286854	75.7401033700315	87.91102173235578	86.37588482567186	88.58577681596009	88.72865975184948	8.090728114018544e-2	89.73760488546229
1362	74.04613666088623	77.14661588967611	75.95821564377376	75.95821564377376	70.32552710493063	77.566849852405	75.3135943566734	58.06855939670641	57.832179523532304	75.65873012100577	76.33403218376846	76.08993953174469	75.55447363633102	10.503851846689054	78.17695881579299
1364	89.47960622385425	87.31565348254044	87.63152363973921	87.63152363973921	72.84722603961438	90.84204685634518	89.89584506692873	91.11010937655743	81.75707825642566	89.84578711874323	89.23141051282259	91.32736708737025	87.1609692150986	13.597089970591213	92.08334830933671
1366	63.5657987147583	62.91409205536779	63.010673401488326	63.010673401488326	57.85766260032168	62.93880001275468	63.75809400255743	63.01461770711707	61.481524323154865	60.08886012691265	58.26322087515273	63.61157002056177	62.093221799256504	6.775251956034817e-2	65.59469412896985
1367	4.846579919128869	4.846579919128869	2.8272746503354274	2.8272746503354274	60.234661024939484	76.85481633414369	70.72189930239024	0.19514936775805156	0.1951493677580515	5.402020232372276	5.402020232372274	2.855058685987841	2.855058685987841	17.77824647056232	4.606878214390428
