"id"	"CB3"	"CB4"	"CF2"	"CM3"	"JR2"	"NG1"	"NG2"	"PP3"	"PP4"	"SB8"	"FUSION"
1465	81.62	78.66	65.73	65.73	62.92	65.2	61.85	63.6	68.61	12.82	76.4
1466	80.31	77.93	74.72	74.72	64.17	77.55	71.25	80.08	62.34	13.56	78.85
1467	77.05	76.83	72.97	72.97	66.8	72.86	61.28	74.56	73.45	7.07	75.17
1468	51.56	54.86	35.63	35.63	30.97	36.82	56.5	48.61	55.89	0.78	54.18
1469	91.71	92.63	89.04	89.04	78.12	87.8	85.33	90.04	91.01	6.68	92.88
1470	3.08	3.08	6.0e-2	6.0e-2	2.27	0.27	0.27	2.33	2.33	0.1	3.08
1471	80.39	80.34	85.18	85.18	68.04	80.72	77.96	86.87	86.59	12.97	88.05
1472	83.71	63.72	88.78	88.78	64.42	66.21	25.9	77.84	31.8	31.4	88.35
1473	31.71	38.2	36.81	36.81	39.5	47.38	39.19	55.45	59.17	11.4	53.89
1475	72.8	67.04	67.79	67.79	1.59	73.98	65.82	70.4	67.84	5.43	71.14
1476	72.19	71.65	74.93	74.93	69.27	74.83	76.53	74.32	73.75	23.48	77.24
1477	89.58	90.39	87.66	87.66	85.02	89.25	87.33	88.11	79.64	8.03	90.51
1478	96.06	96.57	93.5	93.5	84.66	93.68	92.91	95.61	93.78	1.84	96.33
1480	87.89	85.17	85.99	85.99	80.74	80.94	84.42	91.18	88.98	7.3	89.0
1482	86.57	86.86	83.64	83.64	78.94	85.82	71.76	85.76	83.14	13.49	88.8
1483	83.61	81.3	83.41	83.41	74.85	84.65	58.84	71.0	52.12	8.14	85.68
1484	80.49	91.84	80.2	80.2	55.38	77.24	78.74	65.29	76.41	11.53	87.18
1488	87.21	91.53	61.92	61.92	42.34	76.69	73.38	74.11	77.94	8.64	89.35
1489	84.53	82.6	76.59	76.59	62.2	73.9	62.87	64.36	66.26	26.18	83.45
1490	89.84	90.65	87.53	87.53	80.3	84.83	75.57	90.82	80.01	14.68	90.69
1491	68.39	65.11	69.38	69.38	69.01	61.51	65.61	71.76	74.55	14.27	73.11
1493	65.23	60.9	65.75	65.75	53.46	69.38	57.95	57.81	52.57	6.77	67.95
1494	77.97	79.4	76.08	76.08	71.0	82.17	78.71	82.16	73.86	6.35	83.77
1496	95.44	93.29	81.16	81.16	75.71	86.49	83.67	87.55	84.15	9.0e-2	89.63
1497	54.18	54.23	60.9	60.9	51.8	64.61	52.92	65.63	65.42	9.21	67.88
1498	69.93	70.68	74.56	74.56	54.23	71.53	65.89	71.38	65.05	1.24	76.68
1499	69.79	72.96	63.59	63.59	48.3	66.14	62.84	61.54	55.07	3.88	66.3
1500	86.48	84.27	91.65	91.65	67.96	83.22	82.12	87.93	91.36	8.0e-2	92.44
1501	78.41	78.3	52.64	52.64	54.02	64.35	62.54	60.31	70.9	5.0e-2	78.62
1502	92.6	92.54	87.19	87.19	73.92	92.12	87.59	85.64	85.94	9.47	92.78
1503	86.95	87.45	81.47	81.47	65.07	86.69	81.99	82.84	80.68	9.68	87.75
1504	96.73	96.73	92.98	92.98	90.83	88.24	84.9	84.87	84.97	22.25	96.63
1505	86.0	85.26	81.28	81.28	74.33	78.96	78.59	86.14	85.2	15.67	87.99
1506	84.65	84.94	76.35	76.35	70.67	79.33	78.82	78.18	77.22	17.59	81.94
1507	32.04	33.27	21.14	21.14	38.72	51.63	40.86	51.24	37.86	11.24	42.34
1508	94.77	93.59	79.11	79.11	67.9	91.8	74.86	93.29	92.36	8.92	94.61
1509	89.56	91.24	86.7	86.7	84.91	87.81	70.92	0.92	0.92	3.98	90.34
1510	89.31	89.46	85.0	85.0	78.02	78.91	78.62	88.18	88.08	20.24	90.75
1511	76.69	71.08	66.03	66.03	54.09	61.97	55.53	69.57	67.92	4.0e-2	73.86
1512	86.9	91.22	73.14	73.14	68.36	87.05	63.79	83.79	27.9	0.14	90.61
1514	81.72	77.77	79.89	79.89	58.76	68.83	67.93	76.5	82.24	10.36	80.38
1515	61.39	59.53	64.43	64.43	63.44	62.41	63.31	64.67	65.56	5.62	64.47
1516	81.12	81.02	82.39	82.39	72.1	77.41	86.67	82.61	82.08	16.88	83.29
1517	54.27	58.05	50.1	50.1	41.43	44.09	48.63	36.6	52.11	27.38	52.02
1518	70.81	71.18	62.82	62.82	57.53	68.68	58.01	48.75	31.67	11.32	69.53
1519	54.32	60.3	54.75	54.75	56.09	65.97	48.42	61.01	55.05	0.12	62.81
1522	94.29	94.58	90.99	90.99	64.42	52.1	73.29	73.55	85.41	4.09	93.33
1523	86.49	87.41	84.94	84.94	83.27	85.72	85.72	86.71	86.71	5.97	87.21
1524	85.21	89.75	77.57	77.57	71.32	84.52	72.48	83.84	82.95	6.65	88.52
1525	80.67	78.97	61.86	61.86	36.1	73.93	72.86	57.08	62.35	0.94	81.41
