"no"	CB3"	"CB4"	"CF2"	"KO1"	"KO2"	"NG1"	"NG2"	"NMSD1"	"NMSD2"	"PP3"	"PP4"	"SB8"	"FUSION"
1112	87.72756665547132	86.16446946418938	89.56365057909625	76.1674317875035	87.12328334659377	48.85783414591984	86.68470984539304	86.10076691075722	84.5997249801846	72.01398112648903	69.27213625904083	6.412741954303355	88.77312723035654
1113	73.40942735853046	74.77369595891065	71.32184902065084	66.67335651006225	65.84852430548935	59.867912101378884	31.23170282640966	73.629686037207	73.0959824069479	60.81124611856153	27.365918766341174	2.592421047616333	73.20825868731829
1114	84.17226451341344	82.70398223702222	79.70050482380186	78.75482082205922	81.58113171790413	74.50228512188578	70.68741380535197	88.4983158139675	84.3420146143282	81.14057167963504	78.63336695164111	9.407131087123792	83.56595813334857
1116	92.52082154790521	91.91645957662115	84.46354102928295	91.51008910624736	90.92474834354489	85.12952136644151	82.36023943238528	93.30908195623185	93.31251402725275	88.76516713408887	87.46551978502299	18.959924984219704	93.15441718516367
1117	71.30259621062284	69.41533804395611	61.17479385273088	69.41358817951945	66.39973937186812	73.10310753086642	48.82453274281255	71.63534758612145	69.69145424646192	57.70949865392851	57.67999934258265	9.3783829250643e-2	74.79070966329651
1118	64.09626587884385	56.266054468704716	47.60101964539063	54.9467184485083	52.05412945124239	52.14580449600164	54.61562441810778	49.59258183995755	50.78540388642566	59.53117908408504	60.6233380359841	2.0019261074064834	61.23333112710271
1119	88.65834839465461	90.26093539802018	89.98090897336385	90.31851077174915	89.08003192967145	92.33134466470482	91.14435252141185	91.23263469440451	90.82863932370722	91.70133825606813	91.70133825606813	12.259328013503534	91.89924062278868
1120	93.7891302687447	94.8448753226606	81.25035843965168	91.1739848625784	89.64444349441607	87.84753311601577	78.05131466203039	86.05120397226193	94.71912402803292	85.38839873612527	77.4118301752442	5.5126791240940456e-2	94.39005126048485
1121	66.3427891776871	67.1945402567858	64.94811961970501	66.3626109755049	71.82459936900538	71.48605072111316	74.67824491548853	66.53618570767588	69.67624666824265	64.91150045988978	64.21675188888031	18.1070758187107	72.98442392097635
1123	73.40942735853046	74.77369595891065	71.32184902065084	66.69370566462986	65.46254678985883	59.867912101378884	31.23170282640966	73.629686037207	73.0959824069479	60.81124611856153	27.365918766341174	2.592421047616333	73.20825868731829
1124	78.55966881521009	77.95414581498008	74.08453796542604	77.04269279582961	77.12449110023927	74.7658339746214	62.44423615653398	69.98878280767666	75.20773080705092	72.57640235276169	72.01237915397158	11.079478031569645	78.7413681775696
1125	86.12547259011983	86.96622654114401	80.64346411725576	90.55771673064102	88.6971903028877	74.17157189902433	74.801109461503	85.17988837509459	90.73575779603674	62.79526443593393	58.904088830656356	12.237498387210133	93.60812493185131
