"SB8"	"CF2"	"NG2"	"KO2"	"NMSD2"	"CB3"	"PP3"	"KO1"	"NMSD1"	"PP4"	"CB4"	"NG1"	"CELIING"	"RANDOM"	"MVOTE"	"FUSION"
1383	0.4444966859532545	53.58367313567567	38.86931046003384	47.638614360430104	49.76601227352677	51.829491447880116	51.94768443975365	52.586806757912385	53.15158127133187	46.35930299518864	49.398660800197064	51.76012849827738	81.31519274376389	45.44378706479691	51.70245888048708	53.58945454579261
1384	7.88694902302939e-2	76.02039382577094	80.04975514346083	80.94870512917913	80.25571477604797	80.31523848584197	79.68735713637317	80.89697206778915	81.787090925196	79.68735713637317	81.39093070673226	79.43809005717488	84.72934472934512	73.71306053380547	81.95299538843992	82.18254670784398
1385	8.700800106808106	89.99907505298862	91.61364326216258	95.19877043627443	94.52986876190171	95.36259599479999	89.78121592312864	95.45214342859556	95.32312393201777	90.32670555264136	95.1396035711507	94.8245211147256	98.78787878787877	85.68256366199647	96.38062340364095	96.57430039603318
1386	8.468012224627133	81.64192209042024	86.84702426005634	84.69020483485698	78.04538309595868	85.28925424804375	70.62551710157948	80.6333104743119	80.68145763679475	70.24790313431257	84.46799402455774	88.17643826116	97.1021860701576	73.14139956303488	84.94328874100835	86.58290375679793
1390	1.5854674439061425	81.12995668114156	69.14778323430674	84.44188307569938	82.91814807320767	85.70506354996736	83.09150958892646	84.81210167998564	84.1799009218675	74.25467883296126	86.53663421350379	83.9158343989893	92.30114844746888	75.60155820719373	85.6602669073522	86.04507368131222
1391	4.6930211945260786e-2	70.70116574753398	69.1088646751372	86.05371554508106	82.41659152513681	89.26105045732014	69.45000015565729	85.83713108254963	79.93979207375766	56.93998339268228	89.35422456501179	79.05110102287519	97.59972954699136	72.33153818099588	88.51742898198462	90.17655000638835
1392	11.58778950490655	71.99665053466008	77.8230333285216	76.91395419302076	76.70424896779826	71.96683979278575	65.68940038339535	72.67928322120136	78.57549549512215	73.377723234696	76.10437425458939	75.22444958026321	95.24603836530449	69.59553541644486	78.50065300996745	80.16886305463935
1394	0.1777744096400572	80.9481212066089	77.15856105692632	87.22547134333084	85.74449372725476	88.73338071152335	72.15876520894359	84.9921913051619	88.38318702223171	79.34244071073941	92.08478242079258	80.34775738300665	97.1811134601835	75.63190629888884	90.81384165941915	91.77412080285977
1396	12.831890761383253	0.10137721308390711	9.244013031230437e-2	0.37386796933072336	0.6841005977720589	2.7148947165316613	0.8810699942059361	0.4663080996430275	0.6841005977720592	0.8810699942059361	2.7148947165316613	9.24401303123044e-2	16.15257048092854	1.9498262533803525	0.6321857753517658	0.8831538086224414
1397	13.841567091458243	66.49377253984258	64.09637658533646	70.31347285597788	64.83205247484872	69.43959025882788	73.8691869744072	68.20764218471311	68.94330390888003	71.381978816952	71.50085183189876	70.35513995413727	85.85944115156646	65.1158125918167	75.59118534409276	76.78534981373083
1398	12.164182914714742	81.30209459442011	71.08539139306147	83.60139965724126	84.3635126298637	86.93504832020399	80.25409628537462	85.66138965268375	85.08264008907315	78.50265288792711	87.39196385373693	75.64430431983926	97.83748361730017	74.74053189592308	87.04478349084089	88.0971395787466
1399	8.185558590408702e-2	79.48289853120633	77.37510682951866	80.55777849862477	83.46639677672547	82.90780400248092	81.71713548872287	78.27904072059837	82.38241083663124	80.38524502226359	83.00664995739928	78.24982019252361	89.946777054997	74.19405082127821	83.00466487486918	83.46777539736667
