"SB8"	"CF2"	"NG2"	"KO2"	"NMSD2"	"CB3"	"PP3"	"KO1"	"NMSD1"	"PP4"	"CB4"	"NG1"	"CELIING"	"RANDOM"	"MVOTE"	"FUSION"
1018	7.919236623579602	81.2318424829925	84.31474816271042	66.59954535555944	74.1949640121158	81.945213317194	89.32810465751587	73.5614533059753	76.51479794169333	89.32810465751587	82.37081889077591	85.59898219446654	95.22313010685147	75.27467377200674	84.06368223713847	84.859699156177
1019	3.5965177775712522	76.14122134808238	70.79140305015056	72.88921461434886	75.62274604511713	70.1440884410046	76.94359866201164	73.64623828498502	86.02891092200511	74.52587080549411	76.19837997559306	69.5237316872866	97.56958055664475	67.67067618209907	86.13071946088738	88.50635659700885
1020	2.2505237480871596	34.72138736400227	53.13755804794148	44.24956154005512	57.83939190264758	52.43202318132264	63.71126599983425	64.0488530718059	70.45885187196966	66.69873784864052	30.418834208082025	39.78587151645985	96.6842864007689	47.89298461051707	63.61791269032297	66.38075766238228
1021	0.5098499463513495	92.74551128773474	77.53378244537662	94.62928950523072	97.1884469322782	96.94729365298723	95.92827314541795	95.69040356034803	97.1884469322782	96.25175936343847	96.41247631741327	92.6770137348639	98.12850904553973	86.9401190661185	96.8139360892957	96.98996750820369
1022	27.56807817441122	86.79107000826824	90.37041660334654	95.0762079872365	92.86849002626572	84.86711390598197	95.18998879609053	96.61333601882947	93.99531060095279	95.02089600247767	86.90372273010479	89.90653192122463	99.19045590115043	85.27240483540646	97.56975730140624	97.78904166721541
1024	10.335413077119052	60.51507632522212	56.576381861005075	69.97414596188116	76.90659879278346	79.1420808552106	63.83587833893716	64.85420823747324	75.76179641204702	45.51788320342203	75.99708616373184	66.5243046434624	96.36363636363645	62.56087959177342	74.59864059543082	77.6269313566066
1025	2.429117855823606	75.1505345409755	52.86950521188247	78.36409797452143	71.07178279772889	73.57030971392143	66.97960454894793	73.62119112363736	72.13932871793463	67.10964830637778	71.01446839534405	60.288650163432536	94.55948030856722	63.9590794949492	78.17306479419	80.06071476408376
1032	6.42087762462201e-2	65.43158235227907	45.20803604047818	69.64336017005984	58.14862442820782	58.10150173429991	55.10721706299372	63.202895469761145	60.938463544153066	59.26789728040352	65.40979170629257	49.245522662167325	93.3072267710927	54.09272424695026	63.0133924186631	66.52559271018139
1033	9.20465609513894e-2	85.03435441249265	83.08303415194837	86.54359938268861	84.82797971324165	86.58878227577807	85.75333188994094	86.46762397912879	86.78651300997086	85.51118077641252	86.66360904444778	84.2661024259661	91.30434782608671	78.83949558983062	87.30108209892397	87.45580390595096
1034	11.567718390449826	77.45457072098009	65.40993904212256	77.76174887784435	74.10874302570649	81.95814269020984	77.93192952314133	78.1801674838162	74.57617171649429	77.63094389444915	80.11946888625575	80.26455502305794	91.26506024096398	71.22407916114236	81.81183458345747	82.45999810384544
